authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E08000029,Solihull,1,Metropolitan Borough,West Midlands,2022,1.5006109401888723,7,30.078535261568824,True,30
E08000030,Walsall,1,Metropolitan Borough,West Midlands,2014,3.5076930752680027,7,34.05846812100147,False,20
E08000030,Walsall,1,Metropolitan Borough,West Midlands,2015,3.239031249755305,8,60.249587080198204,False,20
E08000030,Walsall,1,Metropolitan Borough,West Midlands,2016,2.9660796398675897,7,30.661152670951427,False,20
E08000030,Walsall,1,Metropolitan Borough,West Midlands,2018,2.4571310926466854,6,28.022551892675704,False,20
E08000030,Walsall,1,Metropolitan Borough,West Midlands,2022,1.743737793271115,7,27.774994517602988,True,29
E08000031,Wolverhampton,1,Metropolitan Borough,West Midlands,2014,3.0540285169654813,7,32.48922926949516,False,20
E08000031,Wolverhampton,1,Metropolitan Borough,West Midlands,2015,2.9606942001216177,7,58.52104791759964,False,20
E08000031,Wolverhampton,1,Metropolitan Borough,West Midlands,2016,2.6660378569607177,8,28.7098019622093,False,20
E08000031,Wolverhampton,1,Metropolitan Borough,West Midlands,2018,2.2160047546933033,6,26.728961101488093,False,20
E08000031,Wolverhampton,1,Metropolitan Borough,West Midlands,2022,2.513626019743731,7,29.575745227354417,True,28
E08000032,Bradford,3,West Yorkshire,Yorkshire and The Humber,2014,4.132066127330918,9,36.52766457099538,False,30
E08000032,Bradford,3,West Yorkshire,Yorkshire and The Humber,2015,3.92187852782583,9,65.99955019116875,False,30
E08000032,Bradford,3,West Yorkshire,Yorkshire and The Humber,2016,4.07971454737053,8,38.42889887667347,False,30
E08000032,Bradford,3,West Yorkshire,Yorkshire and The Humber,2018,2.788623990290399,12,35.144587205206484,False,30
E08000032,Bradford,3,West Yorkshire,Yorkshire and The Humber,2022,1.8979652119751724,13,33.242707765830346,True,48
E08000033,Calderdale,3,West Yorkshire,Yorkshire and The Humber,2014,4.252869054233894,7,36.01966101694915,False,17
E08000033,Calderdale,3,West Yorkshire,Yorkshire and The Humber,2015,3.432456100070422,8,66.8589190122604,False,17
E08000033,Calderdale,3,West Yorkshire,Yorkshire and The Humber,2016,3.731338794825698,9,38.37130486505927,False,17
E08000033,Calderdale,3,West Yorkshire,Yorkshire and The Humber,2018,3.149444218583677,7,40.689909734572666,False,17
