scenario_id,authority_code,metric,event_type,detail
S2,E09000022,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000022,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000022,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000023,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000023,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000023,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000023,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000023,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000023,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000024,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000024,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000024,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000024,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000024,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000024,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000025,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000025,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000025,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000025,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000025,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000025,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000026,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000026,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000026,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000026,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000026,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000026,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000027,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000027,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000027,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000027,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000027,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000027,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000028,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000028,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000028,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000028,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000028,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000028,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000029,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000029,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000029,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000029,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
