scenario_id,authority_code,authority_name,tier,election_active_2026,metric,P10,P50,P90,notes,point_estimate
S3,E08000005,Rochdale,1,True,swing_concentration,2.4543523333333273,3.8640163333333266,5.283925333333327,,3.999999999999994
S3,E08000005,Rochdale,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S3,E08000005,Rochdale,1,True,volatility_score,-9.721152594387089,1.2488414056129118,20.31286240561291,,4.022311872279579
S4,E08000005,Rochdale,1,True,delta_fi,-1.0182482666666666,0.1300747333333334,0.8801837333333334,copied_from_s0,0.0
S4,E08000005,Rochdale,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000005,Rochdale,1,True,turnout_delta,-7.888086666666666,1.391313333333334,9.440913333333334,,3.0
S4,E08000005,Rochdale,1,True,volatility_score,-14.493585466666666,-4.104902466666667,17.483210533333335,copied_from_s0,0.0
S5,E08000005,Rochdale,1,True,delta_fi,-1.0182482666666666,0.1300747333333334,0.8801837333333334,copied_from_s0,0.0
S5,E08000005,Rochdale,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000005,Rochdale,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,copied_from_s0,0.0
S5,E08000005,Rochdale,1,True,volatility_score,-14.493585466666666,-4.104902466666667,17.483210533333335,copied_from_s0,0.0
S0,E08000006,Salford,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,,0.0
S0,E08000006,Salford,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000006,Salford,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,6.440913333333334,,0.0
S0,E08000006,Salford,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,17.483210533333335,,0.0
S1,E08000006,Salford,1,True,delta_fi,-1.1162973908315106,0.06432860916848934,0.8144376091684894,,-0.06574612416484404
S1,E08000006,Salford,1,True,swing_concentration,2.374724333333347,3.364016333333346,5.428377333333346,,3.5000000000000133
S1,E08000006,Salford,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S1,E08000006,Salford,1,True,volatility_score,-11.776337528749092,-0.8063435287490903,19.45033747125091,,1.9671269379175773
S2,E08000006,Salford,1,True,delta_fi,-0.9784566037480122,0.07610269625198754,0.9232056962519876,,0.04302196291865412
S2,E08000006,Salford,1,True,swing_concentration,2.374724333333344,3.364016333333343,4.783925333333343,,3.50000000000001
S2,E08000006,Salford,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
